Ticker,Sector_Classification,Sector_ETF
MMM,Industrial,XLI
AOS,Industrial,XLI
ABT,Healthcare,XLV
ABBV,Healthcare,XLV
ACN,Technology,XLK
ADBE,Technology,XLK
AMD,Semiconductors,SMH
AES,Utility,UTH
AFL,Financial,XLF
A,Healthcare,XLV
APD,Industrial,XLI
ABNB,Consumer discretionary,XLY
AKAM,Technology,XLK
ALB,Industrial,XLI
ARE,Real Estate,IYR
ALGN,Healthcare,XLV
ALLE,Industrial,XLI
LNT,Utility,UTH
ALL,Financial,XLF
GOOGL,Internet,HHH
GOOG,Internet,HHH
MO,Consumer Staples,XLP
AMZN,Retail,RTH
AMCR,Industrial,XLI
AEE,Utility,UTH
AEP,Utility,UTH
AXP,Financial,XLF
AIG,Financial,XLF
AMT,Real Estate,IYR
AWK,Utility,UTH
AMP,Financial,XLF
AME,Industrial,XLI
AMGN,Healthcare,XLV
APH,Technology,XLK
ADI,Semiconductors,SMH
AON,Financial,XLF
APA,Oil Exploration,OIH
APO,Financial,XLF
AAPL,Technology,XLK
AMAT,Semiconductors,SMH
APP,Technology,XLK
APTV,Consumer discretionary,XLY
ACGL,Financial,XLF
ADM,Consumer Staples,XLP
ARES,Financial,XLF
ANET,Technology,XLK
AJG,Financial,XLF
AIZ,Financial,XLF
T,Internet,HHH
ATO,Utility,UTH
ADSK,Technology,XLK
ADP,Industrial,XLI
AZO,Retail,RTH
AVB,Real Estate,IYR
AVY,Industrial,XLI
AXON,Industrial,XLI
BKR,Energy,XLE
BALL,Industrial,XLI
BAC,Financial,XLF
BAX,Healthcare,XLV
BDX,Healthcare,XLV
BRK-B,Financial,XLF
BBY,Retail,RTH
TECH,Healthcare,XLV
BIIB,Healthcare,XLV
BLK,Financial,XLF
BX,Financial,XLF
XYZ,Financial,XLF
BK,Financial,XLF
BA,Industrial,XLI
BKNG,Consumer discretionary,XLY
BSX,Healthcare,XLV
BMY,Healthcare,XLV
AVGO,Semiconductors,SMH
BR,Industrial,XLI
BRO,Financial,XLF
BF-B,Consumer Staples,XLP
BLDR,Industrial,XLI
BG,Consumer Staples,XLP
BXP,Real Estate,IYR
CHRW,Industrial,XLI
CDNS,Technology,XLK
CPT,Real Estate,IYR
CPB,Consumer Staples,XLP
COF,Financial,XLF
CAH,Healthcare,XLV
CCL,Consumer discretionary,XLY
CARR,Industrial,XLI
CVNA,Retail,RTH
CAT,Transportation,IYT
CBOE,Financial,XLF
CBRE,Real Estate,IYR
CDW,Technology,XLK
COR,Healthcare,XLV
CNC,Healthcare,XLV
CNP,Utility,UTH
CF,Industrial,XLI
CRL,Healthcare,XLV
SCHW,Financial,XLF
CHTR,Internet,HHH
CVX,Energy,XLE
CMG,Consumer discretionary,XLY
CB,Financial,XLF
CHD,Consumer Staples,XLP
CIEN,Technology,XLK
CI,Healthcare,XLV
CINF,Financial,XLF
CTAS,Industrial,XLI
CSCO,Technology,XLK
C,Financial,XLF
CFG,Regional Banks,RKH
CLX,Consumer Staples,XLP
CME,Financial,XLF
CMS,Utility,UTH
KO,Consumer Staples,XLP
