time,open,high,low,close,Volume
2017-08-10,757.9,757.9,745.5,745.9,367
2017-08-11,746,746.4,743.4,745.7,510
2017-08-14,745.9,748.9,745.7,748.9,707
2017-08-15,750.3,750.9,748,748,946
2017-08-16,747.7,748.4,745.1,748.1,1065
2017-08-17,748.5,749.8,744.5,744.6,1134
2017-08-18,741.5,743.5,741.1,742.9,2490
2017-08-21,742.8,743.4,741.6,741.8,2601
2017-08-22,741.5,741.7,738.6,738.7,3128
2017-08-23,738.5,739.7,737,738.8,5824
2017-08-24,739.5,742.4,738.6,741.6,6563
2017-08-25,741.7,743.3,741.7,743.1,5386
2017-08-28,743.4,751,743,751,5662
2017-08-29,751.8,752.9,747,747,5223
2017-08-30,748.7,752.6,748.3,752.6,4413
2017-08-31,753,760.5,752.8,758.1,5359
2017-09-01,758.8,762.2,758.6,762,5720
2017-09-05,761.9,763.8,760.5,763,4580
2017-09-06,762.3,763.5,761.3,763.5,4564
2017-09-07,763.5,773.9,763.3,770,6142
2017-09-08,771,776.4,770.9,775.1,6318
2017-09-11,774.8,779.6,769,769,7003
2017-09-12,769,772.8,766.7,772.6,9529
2017-09-13,773.9,778.5,773.7,778.5,7169
2017-09-14,779,785.5,779,784.5,7736
2017-09-15,784.6,786.5,782.3,784.5,7175
2017-09-18,785.2,793.2,785.2,791.9,6221
2017-09-19,792.1,795.9,792.1,792.5,6312
2017-09-20,792.5,793.3,789.1,789.9,6765
2017-09-21,789.9,790.7,786,787.2,4674
2017-09-22,786,787.7,784.4,785.6,6515
2017-09-25,785.6,787.3,785.2,786,5199
2017-09-26,786,787,784.6,787,4518
2017-09-27,787,787.6,786.4,787,3205
2017-09-28,786.9,792.4,786.6,788,7975
2017-09-29,788.5,791.8,788.3,790.3,7060
2017-10-02,790.8,792.5,787,788.3,6062
2017-10-03,787.2,789.2,783.8,784.5,7262
2017-10-04,784.2,792,783.5,792,8062
2017-10-05,792.5,796.3,791.5,793,10122
2017-10-06,794,796,791.6,795.8,9045
