symbol,exchange,type,organ_short_name,organ_name,product_grp_id,icb_code2
YTC,UPCOM,STOCK,XNK Y tế TP.HCM,Công ty Cổ phần Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh,UPX,4500
YEG,HSX,STOCK,Tập đoàn Yeah1,Công ty Cổ phần Tập đoàn Yeah1,STO,5500
YBM,HSX,STOCK,Khoáng sản CN Yên Bái,Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái,STO,1700
YBC,UPCOM,STOCK,Xi măng và Khoáng sản Yên Bái,Công ty Cổ phần Xi măng và Khoáng sản Yên Bái,UPX,2300
XPH,UPCOM,STOCK,Xà phòng Hà Nội,Công ty Cổ phần Xà phòng Hà Nội,UPX,3700
XMP,UPCOM,STOCK,Thủy điện Xuân Minh,Công ty Cổ phần Thủy điện Xuân Minh,UPX,7500
XMD,UPCOM,STOCK,Xuân Mai - Đạo Tú,Công ty Cổ phần Xuân Mai - Đạo Tú,UPX,2300
XMC,UPCOM,STOCK,Bê tông Xuân Mai,Công ty cổ phần Đầu tư và Xây dựng Xuân Mai,UPX,2300
XLV,UPCOM,STOCK,XL và DV Sông Đà,Công ty Cổ phần Xây lắp và Dịch vụ Sông Đà,UPX,2300
XHC,UPCOM,STOCK,Nội thất Xuân Hòa,Công ty Cổ phần Xuân Hòa Việt Nam,UPX,3700
XDH,UPCOM,STOCK,Đầu tư XD Dân dụng Hà Nội,Công ty Cổ phần Đầu tư Xây dựng Dân dụng Hà Nội,UPX,8600
XDC,DELISTED,STOCK,Xây dựng Công trình Tân Cảng,Công ty Cổ phần Xây dựng Công trình Tân Cảng,,2300
X77,UPCOM,STOCK,Thành An 77,Công ty Cổ phần Thành An 77,UPX,2300
X26,UPCOM,STOCK,Công ty 26,Công ty Cổ phần 26,UPX,3700
X20,HNX,STOCK,May mặc X20,Công ty Cổ phần X20,STX,3700
WTC,UPCOM,STOCK,Vận tải thủy Vinacomin,Công ty Cổ phần Vận tải thủy - Vinacomin,UPX,2700
WSS,HNX,STOCK,Chứng khoán Phố Wall,Công ty Cổ phần Chứng khoán Phố Wall,STX,8700
WSB,UPCOM,STOCK,Bia Sài Gòn - Miền Tây,Công ty Cổ phần Bia Sài Gòn - Miền Tây,UPX,3500
WCS,HNX,STOCK,Bến xe Miền Tây,Công ty Cổ phần Bến xe Miền Tây,STX,2700
VXT,UPCOM,STOCK,Kho vận và DV Thương mại,Công ty Cổ phần Kho vận và dịch vụ thương mại,UPX,2700
VXP,UPCOM,STOCK,Thuốc Thú y Trung ương VETVACO,Công ty Cổ phần Thuốc Thú y Trung ương VETVACO,UPX,1300
VXB,UPCOM,STOCK,VLXD Bến Tre,Công ty Cổ phần Vật liệu xây dựng Bến Tre,UPX,2300
VWS,UPCOM,STOCK,Nước và Môi trường VN,Công ty Cổ phần Nước và Môi trường Việt Nam,UPX,7500
VW3,UPCOM,STOCK,VIWASEEN.3,Công ty Cổ phần VIWASEEN3,UPX,2300
VVS,HSX,STOCK,Đầu tư Phát triển Máy Việt Nam,Công ty Cổ phần Đầu tư Phát triển Máy Việt Nam,STO,3300
VVN,UPCOM,STOCK,XD Công nghiệp Việt Nam,Tổng Công ty Cổ phần Xây dựng Công nghiệp Việt Nam,UPX,2300
VUA,UPCOM,STOCK,Chứng khoán Stanley Brothers,Công ty Cổ phần Chứng khoán Stanley Brothers,UPX,8700
VTZ,HNX,STOCK,Nhựa Việt Thành,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,STX,1300
VTX,UPCOM,STOCK,Vận tải Đa phương thức,Công ty Cổ phần Vận tải Đa phương thức VIETRANSTIMEX,UPX,2700
VTV,HNX,STOCK,Năng lượng và Môi trường VICEM,Công ty Cổ phần Năng lượng và Môi trường VICEM,STX,2300
VTS,UPCOM,STOCK,Gạch Ngói Từ Sơn,Công ty Cổ phần Gạch Ngói Từ Sơn,UPX,2300
VTR,UPCOM,STOCK,Du lịch Vietravel,Công ty Cổ phần Du lịch Vietravel,UPX,5700
VTQ,UPCOM,STOCK,Việt Trung Quảng Bình,Công ty Cổ phần Việt Trung Quảng Bình,UPX,1300
VTP,HSX,STOCK,Bưu chính Viettel,Tổng Công ty Cổ phần Bưu chính Viettel,STO,2700
VTO,HSX,STOCK,VITACO,Công ty Cổ phần Vận tải Xăng dầu VITACO,STO,2700
VTM,UPCOM,STOCK,Đưa đón thợ mỏ - Vinacomin,Công ty Cổ phần Vận tải và Đưa đón thợ mỏ - Vinacomin,UPX,5700
VTL,DELISTED,STOCK,Vang Thăng Long,Công ty Cổ phần Vang Thăng Long,UPX,3500
VTK,UPCOM,STOCK,Tư vấn thiết kế Viettel,Công ty Cổ phần Tư vấn và Dịch vụ Viettel,UPX,2700
VTJ,HNX,STOCK,TM và Đầu tư VINATABA,Công ty Cổ phần Thương mại và Đầu tư VI NA TA BA,STX,3700
VTI,UPCOM,STOCK,Sản xuất - XNK Dệt may,Công ty Cổ phần Sản xuất - Xuất nhập khẩu Dệt may,UPX,3700
VTH,HNX,STOCK,Dây cáp điện Việt Thái,Công ty Cổ phần Dây cáp điện Việt Thái,STX,2700
VTG,UPCOM,STOCK,Du lịch tỉnh BR-VT,Công ty Cổ phần Du lịch tỉnh Bà Rịa - Vũng Tàu,UPX,5700
VTE,UPCOM,STOCK,VINACAP Kim Long,Công ty Cổ phần VINACAP Kim Long,UPX,9500
VTD,UPCOM,STOCK,Du lịch Vietourist,Công ty Cổ phần Vietourist Holdings,UPX,5700
VTC,HNX,STOCK,Viễn thông VTC,Công ty Cổ phần Viễn Thông VTC,STX,9500
VTB,HSX,STOCK,Viettronics Tân Bình,Công ty Cổ phần Viettronics Tân Bình,STO,2700
VTA,UPCOM,STOCK,Gạch men VITALY,Công ty Cổ phần VITALY,UPX,2300
VST,UPCOM,STOCK,Vận tải và Thuê Tàu biển Việt Nam,Công ty Cổ phần Vận tải và Thuê Tàu biển Việt Nam,UPX,2700
VSP,DELISTED,STOCK,ShinPetrol,Công ty Cổ phần Vận tải biển và Bất động sản Việt Hải,,2700
VSN,UPCOM,STOCK,VN Kỹ Nghệ Súc Sản (VISSAN),Công ty Cổ phần Việt Nam Kỹ Nghệ Súc Sản,UPX,3500
VSM,HNX,STOCK,Container Miền Trung,Công ty Cổ phần Container Miền Trung,STX,2700
VSI,HSX,STOCK,Đầu tư và Xây dựng Cấp thoát nước,Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước,STO,2300
VSH,HSX,STOCK,Thủy điện Vĩnh Sơn - Sông Hinh,Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh,STO,7500
VSG,UPCOM,STOCK,Container Phía Nam,Công ty Cổ phần Container Phía Nam,UPX,2700
VSF,UPCOM,STOCK,Vinafood 2,Tổng Công ty Lương thực Miền Nam - Công ty Cổ phần,UPX,3500
VSE,UPCOM,STOCK,DV Đường cao tốc Việt Nam,Công ty Cổ phần Dịch vụ Đường cao tốc Việt Nam,UPX,2700
VSC,HSX,STOCK,VICONSHIP,Công ty Cổ phần Container Việt Nam,STO,2700
VSA,HNX,STOCK,Đại lý Hàng hải VN,Công ty Cổ phần Đại lý Hàng hải Việt Nam,STX,2700
VRG,UPCOM,STOCK,PT Đô thị và KCN Cao su VN,Công ty Cổ phần Phát triển Đô thị và Khu Công nghiệp Cao Su Việt Nam,UPX,8600
VRE12007,DELISTED,BOND,Trái phiếu Công ty Cổ phần Vincom Retail,Trái phiếu Công ty Cổ phần Vincom Retail,HCX,
VRE,HSX,STOCK,Vincom Retail,Công ty Cổ phần Vincom Retail,STO,8600
VRC,HSX,STOCK,Bất động sản và Đầu tư VRC,Công ty Cổ phần Bất động sản và Đầu tư VRC,STO,8600
VQC,UPCOM,STOCK,Giám định Vinaconmin,Công ty Cổ phần Giám định Vinaconmin,UPX,2700
VPX,HSX,STOCK,Chứng khoán VPBank,Công ty Cổ phần Chứng khoán VPBank,STO,8700
VPW,UPCOM,STOCK,Cấp thoát nước số 1 Vĩnh Phúc,Công ty Cổ phần Cấp thoát nước số 1 Vĩnh Phúc,UPX,7500
VPS,HSX,STOCK,Thuốc sát trùng Việt Nam,Công ty Cổ phần Thuốc sát trùng Việt Nam,STO,1300
VPR,UPCOM,STOCK,VINAPRINT,Công ty Cổ phần VINAPRINT,UPX,5500
VPL,HSX,STOCK,Vinpearl ,Công ty Cổ phần Vinpearl,STO,5700
VPI124001,BOND,BOND,Trái phiếu CTCP Đầu tư Văn Phú -Invest,Trái phiếu CTCP Đầu tư Văn Phú -Invest,HCX,
VPI,HSX,STOCK,Đầu tư Văn Phú - Invest,Công ty Cổ phần Phát triển Bất động sản Văn Phú,STO,8600
VPH,HSX,STOCK,Vạn Phát Hưng,Công ty Cổ phần Vạn Phát Hưng,STO,8600
VPG,HSX,STOCK,Đầu tư TMại XNK Việt Phát,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,STO,1700
VPD,HSX,STOCK,Phát triển Điện lực Việt Nam,Công ty Cổ phần Phát triển Điện lực Việt Nam,STO,7500
VPC,UPCOM,STOCK,V- Power,Công ty Cổ phần Đầu tư và Phát triển Năng lượng Việt Nam,UPX,2300
VPB,HSX,STOCK,VPBank,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,STO,8300
VPA,UPCOM,STOCK,Vận tải Hóa dầu VP,Công ty Cổ phần Vận tải Hóa dầu VP,UPX,2700
VOS,HSX,STOCK,Vận tải Biển Việt Nam,Công ty Cổ phần Vận tải Biển Việt Nam,STO,2700
VOC,DELISTED,STOCK,Dầu thực vật Việt Nam,Tổng Công ty Công nghiệp Dầu thực vật Việt Nam - Công ty Cổ phần,UPX,3500
VNZ,UPCOM,STOCK,Tập đoàn VNG,Công ty Cổ phần Tập đoàn VNG,UPX,5500
VNY,UPCOM,STOCK,Thuốc thú y Trung ương I,Công ty Cổ phần Thuốc thú y Trung ương I,UPX,1300
VNX,UPCOM,STOCK,QC và Hội chợ Thương mại,Công ty Cổ phần Quảng cáo và Hội chợ Thương mại Vinexad,UPX,5500
VNT421032,DELISTED,BOND,VNT421032 - Trái phiếu,VNT421032 - Trái phiếu,,
VNT,HNX,STOCK,Vận tải ngoại thương,Công ty Cổ phần Giao nhận Vận tải Ngoại Thương,STX,2700
VNS,HSX,STOCK,Ánh Dương Việt Nam,Công ty Cổ phần Ánh Dương Việt Nam,STO,5700
VNR,HNX,STOCK,Tái bảo hiểm Quốc gia,Tổng Công ty Cổ phần Tái bảo hiểm Quốc gia Việt Nam,STX,8500
VNP,UPCOM,STOCK,Nhựa Việt Nam,Công ty Cổ phần Nhựa Việt Nam,UPX,1300
VNM,HSX,STOCK,VINAMILK,Công ty Cổ phần Sữa Việt Nam,STO,3500
VNL,HSX,STOCK,Vinalink Logistics,Công ty Cổ phần Logistics Vinalink,STO,2700
VNI,UPCOM,STOCK,ĐT BĐS Việt Nam,Công ty Cổ phần Đầu tư Bất động sản Việt Nam,UPX,8600
VNH,UPCOM,STOCK,Đầu tư Việt Việt Nhật,Công ty Cổ phần Đầu tư Việt Việt Nhật,UPX,3500
VNG122002,DELISTED,BOND,VNG122002 - Trái phiếu,VNG122002 - Trái phiếu,,
VNG,HSX,STOCK,DL Thành Thành Công,Công ty Cổ phần Du Lịch Thành Thành Công,STO,5700
VNF,HNX,STOCK,VINAFREIGHT,Công ty Cổ phần Vinafreight,STX,2700
VNE,HSX,STOCK,Xây dựng điện Việt Nam,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,STO,2300
VND125033,BOND,BOND,Trái phiếu Công ty cổ phần Chứng khoán VNDIRECT (VNDL2528002),Trái phiếu Công ty cổ phần Chứng khoán VNDIRECT (VNDL2528002),HCX,
VND125032,BOND,BOND,Trái phiếu Công ty cổ phần Chứng khoán VNDIRECT (VNDL2527001),Trái phiếu Công ty cổ phần Chứng khoán VNDIRECT (VNDL2527001),HCX,
VND122014,DELISTED,BOND,VND122014 - Trái phiếu,VND122014 - Trái phiếu,,
VND122013,DELISTED,BOND,VND122013 - Trái phiếu,VND122013 - Trái phiếu,,
VND122012,DELISTED,BOND,VND122012 - Trái phiếu,VND122012 - Trái phiếu,,
VND,HSX,STOCK,Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,STO,8700
VNC,HNX,STOCK,VINACONTROL,Công ty Cổ phần Tập đoàn Vinacontrol,STX,2700
VNB,UPCOM,STOCK,Sách Việt Nam,Công ty Cổ phần Sách Việt Nam,UPX,5500
VNA,UPCOM,STOCK,Vận tải biển Vinaship,Công ty Cổ phần Vận tải biển Vinaship,UPX,2700
VN30F2512,DELISTED,FU,VN30F2512 - HĐTL,VN30F2512 - HĐTL,FIO,
VN30F2509,DELISTED,FU,VN30F2509 - HĐTL,VN30F2509 - HĐTL,FIO,
VN30F2506,DELISTED,FU,VN30F2506 - HĐTL,VN30F2506 - HĐTL,FIO,
VN30F2505,DELISTED,FU,VN30F2505 - HĐTL,VN30F2505 - HĐTL,FIO,
VN30F2504,DELISTED,FU,VN30F2504 - HĐTL,VN30F2504 - HĐTL,,
VN30F2503,DELISTED,FU,VN30F2503 - HĐTL,VN30F2503 - HĐTL,,
VN30F2502,DELISTED,FU,VN30F2502 - HĐTL,VN30F2502 - HĐTL,,
VN30F2501,DELISTED,FU,VN30F2501 - HĐTL,VN30F2501 - HĐTL,,
VN30F2412,DELISTED,FU,VN30F2412 - HĐTL,VN30F2412 - HĐTL,,
VN30F2411,DELISTED,FU,VN30F2411 - HĐTL,VN30F2411 - HĐTL,,
VN30F2410,DELISTED,FU,VN30F2410 - HĐTL,VN30F2410 - HĐTL,,
VN30F2409,DELISTED,FU,VN30F2409 - HĐTL,VN30F2409 - HĐTL,,
VN30F2408,DELISTED,FU,VN30F2408 - HĐTL,VN30F2408 - HĐTL,,
VN30F2407,DELISTED,FU,VN30F2407 - HĐTL,VN30F2407 - HĐTL,,
VN30F2406,DELISTED,FU,VN30F2406 - HĐTL,VN30F2406 - HĐTL,,
VN30F2405,DELISTED,FU,VN30F2405 - HĐTL,VN30F2405 - HĐTL,,
VN30F2404,DELISTED,FU,VN30F2404 - HĐTL,VN30F2404 - HĐTL,,
VN30F2403,DELISTED,FU,VN30F2403 - HĐTL,VN30F2403 - HĐTL,,
VN30F2402,DELISTED,FU,VN30F2402 - HĐTL,VN30F2402 - HĐTL,,
VN30F2401,DELISTED,FU,VN30F2401 - HĐTL,VN30F2401 - HĐTL,,
VMT,UPCOM,STOCK,Giao nhận Vận tải Miền Trung,Công ty Cổ phần Giao nhận Vận tải Miền Trung,UPX,2700
VMS,HNX,STOCK,Phát triển Hàng Hải,Công ty Cổ phần Phát triển Hàng Hải,STX,2700
VMK,UPCOM,STOCK,Vimarko,Công ty Cổ phần Vimarko,UPX,2300
VMI,DELISTED,STOCK,KS và Đầu tư VISACO,Công ty Cổ phần Khoáng sản và Đầu tư VISACO,,2300
VMG,UPCOM,STOCK,Vimexco Gas,Công ty Cổ phần Thương mại và Dịch vụ Dầu khí Vũng Tàu,UPX,7500
VMD,HSX,STOCK,Y Dược phẩm Vimedimex,Công ty Cổ phần Y Dược phẩm Vimedimex,STO,4500
VMC,HNX,STOCK,VIMECO,Công ty Cổ phần VIMECO,STX,2300
VMA,UPCOM,STOCK,CN Ô tô - Vinacomin,Công ty Cổ phần Công nghiệp Ô tô - Vinacomin,UPX,3300
VLW,UPCOM,STOCK,Cấp nước Vĩnh Long,Công ty Cổ phần Cấp nước Vĩnh Long,UPX,7500
VLS,UPCOM,STOCK,Sản xuất Thép Việt Long,Công ty Cổ phần Sản xuất Thép Việt Long,UPX,1700
VLP,UPCOM,STOCK,Công trình Công cộng Vĩnh Long,Công ty Cổ phần Công trình Công cộng Vĩnh Long,UPX,2700
VLG,UPCOM,STOCK,VIMC Logistics,Công ty Cổ phần VIMC Logistics,UPX,2700
VLF,DELISTED,STOCK,Lương thực Vĩnh Long,Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long,UPX,3500
VLC,UPCOM,STOCK,Chăn nuôi Việt Nam,Tổng Công ty Chăn nuôi Việt Nam - Công ty Cổ phần,UPX,3500
VLB,UPCOM,STOCK,VLXD Biên Hòa,Công ty Cổ phần Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa,UPX,2300
VLA,HNX,STOCK,PT Công nghệ Văn Lang,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang,STX,9500
VKP,UPCOM,STOCK,Nhựa Tân Hóa,Công ty Cổ phần Nhựa Tân Hóa,UPX,1300
VKD,DELISTED,STOCK,Nước khoáng Khánh Hòa,Công ty Cổ phần Nước khoáng Khánh Hòa,,3500
VKC,UPCOM,STOCK,VKC Holdings,Công ty Cổ phần VKC Holdings,UPX,3300
VJC,HSX,STOCK,Vietjet Air,Công ty Cổ phần Hàng không Vietjet,STO,5700
VIX,HSX,STOCK,Chứng khoán VIX,Công ty Cổ phần Chứng khoán VIX,STO,8700
VIW,UPCOM,STOCK,Đầu tư nước và môi trường VN - Viwaseen,Tổng công ty Đầu tư Nước và Môi trường Việt Nam - Công ty Cổ phần,UPX,2300
VIT,HNX,STOCK,Viglacera Tiên Sơn,Công ty Cổ phần Viglacera Tiên Sơn,STX,2300
VIS,DELISTED,STOCK,Thép Việt Ý,Công ty Cổ phần Thép Việt Ý,,1700
VIR,UPCOM,STOCK,Du lịch Vũng Tàu,Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,UPX,5700
VIP,HSX,STOCK,Vận tải Xăng dầu VIPCO,Công ty Cổ phần Vận tải Xăng dầu VIPCO,STO,2700
VIN,UPCOM,STOCK,Kho vận ngoại thương VN,Công ty Cổ phần Giao nhận Kho vận Ngoại thương Việt Nam,UPX,2700
VIM,UPCOM,STOCK,Khoáng sản Viglacera,Công ty Cổ phần Khoáng sản Viglacera,UPX,1700
VIH,UPCOM,STOCK,Viglacera Hà Nội,Công ty Cổ phần Viglacera Hà Nội,UPX,2300
VIG,HNX,STOCK,Chứng khoán Đầu tư Tài chính Việt Nam,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,STX,8700
VIF,HNX,STOCK,Lâm nghiệp Việt Nam,Tổng Công ty Lâm nghiệp Việt Nam - Công ty Cổ phần,STX,1700
VIE,UPCOM,STOCK,CN Viễn thông VI TE CO,Công ty Cổ phần Công nghệ Viễn thông VI TE CO,UPX,9500
VID,HSX,STOCK,Viễn Đông,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông,STO,1700
VIC124005,BOND,BOND,Trai phieu VICH2326003,Trai phieu VICH2326003,HCX,
VIC124004,DELISTED,BOND,Trai phieu VICH2325005,Trai phieu VICH2325005,HCX,
VIC124003,BOND,BOND,Trai phieu VICH2326002,Trai phieu VICH2326002,HCX,
VIC123029,BOND,BOND,Trai phieu VICH2326001,Trai phieu VICH2326001,HCX,
VIC123028,DELISTED,BOND,Trai phieu VICH2325004,Trai phieu VICH2325004,HCX,
VIC121005,DELISTED,BOND,VIC121005 - Trái phiếu,VIC121005 - Trái phiếu,,
VIC121004,DELISTED,BOND,VIC121004 - Trái phiếu,VIC121004 - Trái phiếu,,
VIC121003,DELISTED,BOND,VIC121003 - Trái phiếu,VIC121003 - Trái phiếu,,
VIC,HSX,STOCK,VinGroup,Tập đoàn Vingroup - Công ty CP,STO,8600
VIB,HSX,STOCK,VIBBank,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,STO,8300
VHM121025,BOND,BOND,Trái phiếu Công ty cổ phần Vinhomes,Trái phiếu Công ty cổ phần Vinhomes,HCX,
VHM121024,DELISTED,BOND,VHM121024 - Trái phiếu,VHM121024 - Trái phiếu,,
VHM,HSX,STOCK,Vinhomes,Công ty Cổ phần Vinhomes,STO,8600
VHL,HNX,STOCK,Viglacera Hạ Long,Công ty Cổ phần Viglacera Hạ Long,STX,2300
VHI,DELISTED,STOCK,,,,3500
VHH,UPCOM,STOCK,Kinh doanh nhà Thành Đạt,Công ty Cổ phần Đầu tư Kinh doanh nhà Thành Đạt,UPX,2300
VHG,UPCOM,STOCK,Đầu tư và Phát triển Việt Trung Nam,Công ty Cổ phần Đầu tư và Phát triển Việt Trung Nam,UPX,2700
VHF,UPCOM,STOCK,Chế biến lương thực Vĩnh Hà,Công ty Cổ phần Xây dựng và Chế biến lương thực Vĩnh Hà,UPX,3500
VHE,HNX,STOCK,Dược liệu và Thực phẩm VN,Công ty Cổ phần Dược liệu và Thực phẩm Việt Nam,STX,4500
VHD,UPCOM,STOCK,PT Nhà và Đô thị Vinaconex,Công ty Cổ phần Đầu tư phát triển nhà và đô thị VINAHUD,UPX,8600
VHC,HSX,STOCK,Thủy sản Vĩnh Hoàn,Công ty Cổ phần Vĩnh Hoàn,STO,3500
VGV,UPCOM,STOCK,Tư vấn Xây dựng Việt Nam,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP,UPX,8600
VGT,UPCOM,STOCK,VINATEX,Tập đoàn Dệt May Việt Nam,UPX,3700
VGS,HNX,STOCK,Ống thép Việt Đức,Công ty Cổ phần Ống thép Việt - Đức VG PIPE,STX,1700
VGR,UPCOM,STOCK,Cảng xanh VIP,Công ty Cổ phần Cảng xanh VIP,UPX,2700
VGP,HNX,STOCK,Cảng Rau Quả,Công ty Cổ phần Cảng Rau Quả,STX,2700
VGL,UPCOM,STOCK,Mạ kẽm công nghiệp Vingal-Vnsteel,Công ty Cổ phần Mạ kẽm công nghiệp Vingal-Vnsteel,UPX,1700
