Date,FDN,IYR,IYT,KRE,OIH,SMH,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XRT
1998-12-22,,,,,,,30400,55887,600,601000,150300,15800,5700,7400,
1998-12-23,,,,,,,135600,78784,900,676600,44000,48200,18100,24000,
1998-12-24,,,,,,,24600,43824,1400,487400,45500,47600,4900,3200,
1998-12-28,,,,,,,27000,51948,7400,618600,25400,6200,15500,17200,
1998-12-29,,,,,,,44000,100819,1400,247600,123500,24000,5300,2200,
1998-12-30,,,,,,,43600,154614,2800,191200,10200,140800,17300,63400,
1998-12-31,,,,,,,26000,65366,33100,154400,66300,43200,6600,64800,
1999-01-04,,,,,,,57200,250632,6400,1301200,50000,218600,249200,10400,
1999-01-05,,,,,,,85400,47763,2000,590400,27900,222400,4400,2600,
1999-01-06,,,,,,,112800,129871,13500,1249400,118500,82000,38500,16200,
1999-01-07,,,,,,,145200,89986,13100,1069200,43500,444600,15900,27400,
1999-01-08,,,,,,,842200,173694,11000,1065600,63800,271800,24400,37200,
1999-01-11,,,,,,,70000,62904,2200,995800,65400,258000,7700,126200,
1999-01-12,,,,,,,178400,117437,6500,972000,29400,14200,270700,6600,
1999-01-13,,,,,,,84800,359206,1700,1096600,73800,51800,7100,6800,
1999-01-14,,,,,,,140000,59950,4100,732600,30800,40000,12200,73200,
1999-01-15,,,,,,,21400,96757,4900,1307800,39000,13800,7700,69600,
1999-01-19,,,,,,,25600,54903,10100,874600,39200,24400,22700,8200,
1999-01-20,,,,,,,31600,76445,1700,2264400,480500,65400,25800,7000,
1999-01-21,,,,,,,47800,438482,2500,2985800,42500,41000,23200,63000,
1999-01-22,,,,,,,38600,109928,8700,2582000,75700,41600,67100,24600,
1999-01-25,,,,,,,36400,169632,4600,1893200,179000,27200,495300,16200,
1999-01-26,,,,,,,51400,118053,0,1427800,85000,30400,187400,7400,
1999-01-27,,,,,,,74200,56872,500,2733800,50400,15600,6800,3800,
1999-01-28,,,,,,,61600,47270,1900,1807200,57300,35200,25800,8600,
1999-01-29,,,,,,,37200,72998,109200,1867200,167800,79600,13800,13600,
1999-02-01,,,,,,,46200,59827,2400,1826000,57200,24400,34000,12200,
1999-02-02,,,,,,,53000,107220,20700,2518400,81800,55400,141700,41800,
1999-02-03,,,,,,,58800,69675,20100,2668200,65300,65000,38900,46200,
1999-02-04,,,,,,,52000,48625,6100,3891800,34400,36400,7400,39000,
1999-02-05,,,,,,,132000,103035,4300,3664800,33000,16200,16900,11600,
1999-02-08,,,,,,,62200,137749,2900,2629200,83500,26600,6500,16400,
1999-02-09,,,,,,,128600,264050,4100,4171000,44500,24400,220800,18800,
1999-02-10,,,,,,,138600,31883,5400,2803600,32000,16000,17800,18400,
1999-02-11,,,,,,,433600,81000,3500,5333400,22400,8800,5300,24400,
1999-02-12,,,,,,,484600,106974,2600,5834800,29600,206000,8400,11600,
1999-02-16,,,,,,,73200,463102,3800,3452800,37700,118600,18500,18600,
1999-02-17,,,,,,,83400,501140,5400,5567000,26800,114800,12900,29400,
1999-02-18,,,,,,,166000,69428,4300,4151200,29400,28000,11500,7000,
1999-02-19,,,,,,,260600,76322,2800,3347200,30300,19200,13900,1800,
1999-02-22,,,,,,,159000,89617,6400,4736000,183700,13800,17800,28000,
1999-02-23,,,,,,,619200,121623,5400,4131000,35400,30200,15000,13600,
1999-02-24,,,,,,,69000,251986,5300,5001000,69000,132000,28000,18000,
1999-02-25,,,,,,,89200,173448,3200,5132400,28100,47200,98900,38200,
1999-02-26,,,,,,,49800,116822,3400,4685200,15100,22800,10800,17000,
1999-03-01,,,,,,,26600,211486,3200,2184200,17500,16800,8800,17200,
1999-03-02,,,,,,,110200,91463,47600,4960400,29700,20600,11500,36200,
1999-03-03,,,,,,,206600,57365,13600,3215600,32000,9400,13100,2000,
1999-03-04,,,,,,,180800,50348,15700,6398200,85300,11400,10400,10800,
1999-03-05,,,,,,,185400,498432,5200,3753800,49100,42000,25400,49600,
1999-03-08,,,,,,,215200,133564,1800,3318800,30700,78200,62700,24600,
1999-03-09,,,,,,,158000,105374,1800,1872000,23300,11600,12200,24200,
1999-03-10,,,,,,,3467600,91217,2700,884000,32600,68000,10700,11200,
1999-03-11,,,,,,,1818000,210993,1800,2432400,55700,19200,23600,26200,
1999-03-12,,,,,,,1208600,183911,2200,1672000,48100,15600,24600,27400,
1999-03-15,,,,,,,1046000,82969,1900,864200,246400,31800,144800,14200,
1999-03-16,,,,,,,546600,188466,4800,1517600,63700,20200,9100,12400,
1999-03-17,,,,,,,725600,161261,1900,850800,40900,24200,2700,13400,
1999-03-18,,,,,,,665200,199422,3900,642800,22300,27600,9500,14000,
1999-03-19,,,,,,,520800,244723,9100,1273000,174200,102000,6900,26200,
1999-03-22,,,,,,,330000,427280,9900,1547000,93400,76800,40900,37200,
1999-03-23,,,,,,,275800,288793,4900,2997200,91600,68800,15400,19600,
1999-03-24,,,,,,,122200,144396,4800,1233400,46700,47400,12800,25800,
1999-03-25,,,,,,,333000,77184,6500,1190200,46000,15200,9700,20400,
1999-03-26,,,,,,,89400,65120,3100,967000,20400,24600,6600,12600,
